S T U q1 q2 q3 WinSize
6.120293442802655421e-06 1.009346520397773870e-06 1.000000000000000021e-08 -2.619937847354222166e-02 7.234919895888971553e-01 6.972926111153548989e-01 6.000000000000000000e+00
6.156029644593679014e-06 1.009943892944434152e-06 1.000000000000000021e-08 -2.749950160115099268e-02 3.766748323545705546e-01 3.491753307534195550e-01 6.000000000000000000e+00
6.127340747716954392e-06 1.010268896648060380e-06 1.000000000000000021e-08 -2.727801560914504264e-02 2.364467080499750296e-01 2.091686924408299730e-01 6.000000000000000000e+00
6.022693150089234800e-06 1.010566953065680616e-06 1.000000000000000021e-08 -2.746919916312171722e-02 -9.364356917875404918e-02 -1.211127683418757595e-01 6.000000000000000000e+00
5.891456740984318812e-06 1.010852891457616572e-06 1.000000000000000021e-08 -2.684411221153886612e-02 1.668728422650112009e-02 -1.015682798503774603e-02 6.000000000000000000e+00
7.265095100060180551e-06 1.077626644836625398e-06 1.000000000000000021e-08 -3.056025564857937221e-02 8.005021390759381461e-02 4.948995825901444240e-02 6.000000000000000000e+00
1.022239262070369260e-05 1.217146361813981190e-06 1.000000000000000021e-08 -3.563925607023966935e-02 8.179791535455471774e-02 4.615865928431504839e-02 6.000000000000000000e+00
1.029955118067721636e-05 1.207120706590458190e-06 1.000000000000000021e-08 -3.831617079789312319e-02 -6.809754459579018260e-01 -7.192916167557950047e-01 6.000000000000000000e+00
1.043972634807017715e-05 1.189326001028363926e-06 1.000000000000000021e-08 -4.041987863922967550e-02 -1.394742591705851353e+00 -1.435162470345080932e+00 6.000000000000000000e+00
1.064790165381473485e-05 1.164244798070822214e-06 1.000000000000000021e-08 -4.113828351209587730e-02 -2.618583679310688694e+00 -2.659721962822784391e+00 6.000000000000000000e+00
1.092843150798204523e-05 1.132757033776986576e-06 1.000695580741967511e-08 -4.510773515305853409e-02 -2.395445193218900926e+00 -2.440552928371959585e+00 6.000000000000000000e+00
1.125155006030276821e-05 1.099456988092022142e-06 1.000000000000000021e-08 -4.903756822373871171e-02 1.356788756784192529e+00 1.307751188560453803e+00 6.000000000000000000e+00
1.160474811818591473e-05 1.066104420396682884e-06 1.000000000000000021e-08 -5.320824500484033770e-02 2.189433637505278973e+00 2.136225392500438858e+00 6.000000000000000000e+00
1.195332376568043945e-05 1.035920431181891858e-06 1.000000000000000021e-08 -5.852544987839559953e-02 1.421955742360719199e+00 1.363430292482323614e+00 6.000000000000000000e+00
1.226575071109956362e-05 1.010860714634676424e-06 1.000000000000000021e-08 -6.150554616025470656e-02 8.822312230722610948e-01 8.207256769120063744e-01 6.000000000000000000e+00
1.299605834735030970e-05 1.013849476045246430e-06 1.000000000000000021e-08 -6.474193356228905016e-02 3.196728027392969906e-01 2.549308691770079127e-01 6.000000000000000000e+00
1.350641355514350360e-05 1.013903663553001123e-06 1.000000000000000021e-08 -6.647332605121303306e-02 2.432115722034726701e-01 1.767382461522596371e-01 6.000000000000000000e+00
1.384510556040287053e-05 1.013993770736289113e-06 1.000000000000000021e-08 -6.864826482175695466e-02 1.276318652309464952e-01 5.898360040918954050e-02 6.000000000000000000e+00
1.400719939311490185e-05 1.014121910474388026e-06 1.000000000000000021e-08 -7.022571730012854008e-02 4.565817066100743560e-01 3.863559893099458020e-01 6.000000000000000000e+00
1.412232127344427287e-05 1.014259932386379263e-06 1.000000000000000021e-08 -6.960538837306411153e-02 6.357975670550573000e-01 5.661921786819932301e-01 6.000000000000000000e+00
1.420946517915812842e-05 1.014403826387756952e-06 1.000000000000000021e-08 -6.737609793312750173e-02 -6.241675676845215293e-02 -1.297928547015796408e-01 6.000000000000000000e+00
1.429225166811605109e-05 1.014548339834779238e-06 1.000000000000000021e-08 -6.616609900997263982e-02 -1.241082446697738817e-03 -6.740718145667037864e-02 6.000000000000000000e+00
1.435468994889887934e-05 1.014890745430880373e-06 1.000000000000000021e-08 -6.501394703754183324e-02 -6.841672108982868039e-01 -7.491811579358286233e-01 6.000000000000000000e+00
1.437579366399845455e-05 1.015138856709556273e-06 1.000000000000000021e-08 -6.418821311790098849e-02 -2.851108441606218236e-01 -3.492990572785228398e-01 6.000000000000000000e+00
1.431974541098630598e-05 1.015318750073511958e-06 1.000000000000000021e-08 -6.297680735852966005e-02 4.876926454846177705e-01 4.247158381260880966e-01 6.000000000000000000e+00
1.410943428038376248e-05 1.015780906605830639e-06 1.000000000000000021e-08 -6.334607914477639878e-02 1.403185812570630020e+00 1.339839733425853607e+00 6.000000000000000000e+00
1.372751975875130992e-05 1.016205017200932092e-06 1.000000000000000021e-08 -6.368703756752908118e-02 7.899754370337701559e-01 7.262883994662410192e-01 6.000000000000000000e+00
1.315347010301414292e-05 1.016520340596077641e-06 1.000000000000000021e-08 -6.075666115113499688e-02 1.307039711777912672e+00 1.246283050626777689e+00 6.000000000000000000e+00
1.239695217193115972e-05 1.016886223063606727e-06 1.000000000000000021e-08 -5.521397297255675740e-02 9.367129260407640601e-01 8.814989530682073582e-01 6.000000000000000000e+00
1.152208487984940641e-05 1.017287838549538371e-06 1.000000000000000021e-08 -4.967117257532213670e-02 9.221770478333954912e-01 8.725058752580733268e-01 6.000000000000000000e+00
1.057758448663816818e-05 1.017620699735200270e-06 1.000152257897103977e-08 -4.288671207697582199e-02 4.681180028426066286e-01 4.252312907656308205e-01 6.000000000000000000e+00
9.647711669210689973e-06 1.017955499495176171e-06 1.000306421273570376e-08 -3.849191045501752784e-02 -1.075411146231747495e+00 -1.113903056686764925e+00 6.000000000000000000e+00
8.816625487384910641e-06 1.018092405528038773e-06 1.000718346703412005e-08 -3.399418443736201834e-02 -1.142258466124856042e+00 -1.176252650562218172e+00 6.000000000000000000e+00
8.173353168896843474e-06 1.018384319362492238e-06 1.000834718048415991e-08 -3.147663528667940525e-02 -1.519140112170767054e+00 -1.550616747457446376e+00 6.000000000000000000e+00
